Provinsi,Jumlah Luas Daratan Kawasan Hutan (Ha),Jumlah Luas Daratan dan Perairan Kawasan Hutan (Ha)
Aceh,3.550.390,23,3.550.390,23
Sumatera Utara,3.055.795,00,3.055.795,00
Sumatera Barat,2.342.894,00,2.380.057,00
Riau,5.406.992,00,5.406.992,00
Jambi,2.098.535,00,2.098.535,00
Sumatera Selatan,3.407.693,00,3.456.797,00
Bengkulu,924.631,00,924.631,00
Lampung,1.004.735,00,1.004.735,00
Kep. Bangka Belitung,643.615,00,643.615,00
Kepulauan Riau,381.832,10,381.832,10
DKI Jakarta,475,45,108.475,45
Jawa Barat,816.603,00,816.603,00
Jawa Tengah,647.133,00,757.250,00
D.I Yogyakarta,16.819,52,16.819,52
Jawa Timur,1.357.640,00,1.361.146,00
Banten,201.787,00,253.254,00
Bali,127.271,01,130.686,01
Nusa Tenggara Barat,1.035.838,00,1.046.959,00
Nusa Tenggara Timur,1.485.917,00,1.742.399,00
Kalimantan Barat,8.197.127,00,8.388.072,00
Kalimantan Tengah,12.697.165,00,12.719.707,00
Kalimantan Selatan,1.779.982,00,1.779.982,00
Kalimantan Timur dan Kalimantan Utara,13.831.724,88,13.831.724,88
Sulawesi Utara,694.939,00,764.739,00
Sulawesi Tengah,3.914.598,00,4.254.717,00
Sulawesi Selatan,3.407.693,00,3.456.797,00
Sulawesi Tenggara,2.326.419,00,3.830.579,00
Gorontalo,824.668,00,824.668,00
Sulawesi Barat,1.092.376,00,1.092.376,00
Maluku,3.910.409,00,3.919.617,00
Maluku Utara,2.515.220,00,2.515.220,00
Papua Barat,8.784.787,00,9.713.137,00
Papua,29.368.482,00,30.387.499,00
