Provinsi;Jumlah Luas Daratan Kawasan Hutan (Ha);Jumlah Luas Daratan dan Perairan Kawasan Hutan (Ha)
Aceh;3550390.23;3550390.23
Sumatera Utara;3055795.00;3055795.00
Sumatera Barat;2342894.00;2380057.00
Riau;5406992.00;5406992.00
Jambi;2098535.00;2098535.00
Sumatera Selatan;3407693.00;3456797.00
Bengkulu;924631.00;924631.00
Lampung;1004735.00;1004735.00
Kep. Bangka Belitung;643615.00;643615.00
Kepulauan Riau;381832.10;381832.10
DKI Jakarta;475.45;108475.45
Jawa Barat;816603.00;816603.00
Jawa Tengah;647133.00;757250.00
D.I Yogyakarta;16819.52;16819.52
Jawa Timur;1357640.00;1361146.00
Banten;201787.00;253254.00
Bali;127271.01;130686.01
Nusa Tenggara Barat;1035838.00;1046959.00
Nusa Tenggara Timur;1485917.00;1742399.00
Kalimantan Barat;8197127.00;8388072.00
Kalimantan Tengah;12697165.00;12719707.00
Kalimantan Selatan;1779982.00;1779982.00
Kalimantan Timur dan Kalimantan Utara;13831724.88;13831724.88
Sulawesi Utara;694939.00;764739.00
Sulawesi Tengah;3914598.00;4254717.00
Sulawesi Selatan;3407693.00;3456797.00
Sulawesi Tenggara;2326419.00;3830579.00
Gorontalo;824668.00;824668.00
Sulawesi Barat;1092376.00;1092376.00
Maluku;3910409.00;3919617.00
Maluku Utara;2515220.00;2515220.00
Papua Barat;8784787.00;9713137.00
Papua;29368482.00;30387499.00
;;
